Event normalised name,Event model element,Confidence value,Entity A normalised name,Entity A model element,Entity B normalised name,Entity B model element
Protein_catabolism,http://purl.org/pc2/7/Catalysis_36dbb292d37841f2d73e76d653579994,0.716646450776,MEK,http://purl.org/pc2/7/Protein_fe62f66032560f649c916cd328fa6dbf,ERK,http://purl.org/pc2/7/Protein_3f97fa62e14e5c9fb43b161d33a9f564
Phosphorylation,http://purl.org/pc2/7/Catalysis_0557c7b5b745ee9adb7444d8b0026f56,0.716646450776,MEK,http://purl.org/pc2/7/Protein_430d3114bab634c22fb7f4621d13099c,ERK,http://purl.org/pc2/7/Protein_3c188cd529ea7d261c898b5b46c35174
